供应商,供货商来货品名,图片, 单价（含采购运费） ,雷阳品名规格,"编码代码
（大类）","编码代码
（小类）",末位流水编号,雷阳货号,成本价（含打包费用及发货运费等）,子件货号,,最新采购价格日期
义乌市诗虹电子商务商行,"8连长方肥皂225手工皂烘焙糕点饼干松饼蛋糕模具甜点厨房工具 [快照]
颜色: 紫色",#NAME?, 5.40 ,8连长方肥皂蛋糕模紫色 2PCS,BG,01,0001,BG010001,6.05,,,
,,#NAME?, 5.40 ,8连长方肥皂蛋糕模粉色 紫色 2PCS,T2-BG,01,0001,T2-BG010001,6.05,,,
东莞市桥头敏睿塑胶电子厂,4孔玫瑰花钻石冰格模鸡尾酒冰块模 硅胶冰球制作器 亚马逊热销 颜色: 玫瑰花冰格墨绿,#NAME?, 8.30 ,玫瑰花钻石冰格4格墨绿,BG,01,0002,BG010002,9.3,,,
东莞市桥头敏睿塑胶电子厂,4孔玫瑰花钻石冰格模鸡尾酒冰块模 硅胶冰球制作器 亚马逊热销 颜色: 玫瑰花冰格黑色,#NAME?, 8.30 ,玫瑰花钻石冰格4格黑色,BG,01,0003,BG010003,9.3,,,
东莞市桥头敏睿塑胶电子厂,4孔玫瑰花钻石冰格模鸡尾酒冰块模 硅胶冰球制作器 亚马逊热销 颜色: 玫瑰花冰格灰色,#NAME?,,玫瑰花钻石冰格4格灰色,BG,01,0004,BG010004,0,,,
东莞市桥头敏睿塑胶电子厂,4孔玫瑰花钻石冰格模鸡尾酒冰块模 硅胶冰球制作器 亚马逊热销 ,#NAME?, 16.60 ,玫瑰花钻石冰格4格墨绿2PCS,BG,01,0082,BG010082,18.59,,,
东莞市桥头敏睿塑胶电子厂,4孔玫瑰花钻石冰格模鸡尾酒冰块模 硅胶冰球制作器 亚马逊热销,#NAME?, 16.60 ,玫瑰花钻石冰格4格黑色2PCS,BG,01,0083,BG010083,18.59,,,
东莞市桥头敏睿塑胶电子厂,4孔玫瑰花钻石冰格模鸡尾酒冰块模 硅胶冰球制作器 亚马逊热销 颜,#NAME?, 16.60 ,玫瑰花钻石冰格4格灰色2PCS,BG,01,0084,BG010084,18.59,,,
东莞晖高橡塑科技有限公司,硅胶条形冰格食品级带盖大号家用制冰盒调酒大冰块模具宝宝辅食盒 颜色: 绿色 规格: 4格带盖,#NAME?, 9.00 ,条形冰格4格带盖绿色,BG,01,0005,BG010005,10.08,,,
东莞晖高橡塑科技有限公司,硅胶条形冰格食品级带盖大号家用制冰盒调酒大冰块模具宝宝辅食盒 颜色: 黄色 规格: 4格带盖,#NAME?, 9.00 ,条形冰格4格带盖黄色,BG,01,0006,BG010006,10.08,,,
东莞晖高橡塑科技有限公司,硅胶条形冰格食品级带盖大号家用制冰盒调酒大冰块模具宝宝辅食盒 颜色: 白色 规格: 4格带盖,#NAME?, 9.00 ,条形冰格4格带盖白色,BG,01,0007,BG010007,10.08,,,
东莞晖高橡塑科技有限公司,硅胶条形冰格食品级带盖大号家用制冰盒调酒大冰块模具宝宝辅食盒 颜色: 紫色 规格: 4格带盖,#NAME?, 9.00 ,条形冰格4格带盖紫色,BG,01,0008,BG010008,10.08,,,
义乌市易赛日用品有限公司,"创意蜂窝带盖37格制冰冰格冰箱自制冰块模具家用制冰盒冰模辅食 [快照]
颜色: 绿色  规格: 带盖OPP袋装",#NAME?, 1.95 ,37格蜂窝冰格绿色,BG,01,0009,BG010009,2.18,,,
义乌市易赛日用品有限公司,"创意蜂窝带盖37格制冰冰格冰箱自制冰块模具家用制冰盒冰模辅食 [快照]
颜色: 绿色  规格: 带盖OPP袋装",#NAME?, 5.85 ,37格蜂窝冰格绿色-3PCs,BG,01,0009,T3-BG010009-LV,6.55,,,
义乌市易赛日用品有限公司,"创意蜂窝带盖37格制冰冰格冰箱自制冰块模具家用制冰盒冰模辅食 [快照]
颜色: 绿色  规格: 带盖OPP袋装",#NAME?, 5.85 ,37格蜂窝冰格粉色-3PCs,BG,01,0009,T3-BG010009-FEN,6.55,,,
义乌市易赛日用品有限公司,"创意蜂窝带盖37格制冰冰格冰箱自制冰块模具家用制冰盒冰模辅食 [快照]
颜色: 绿色  规格: 带盖OPP袋装",#NAME?, 5.85 ,37格蜂窝冰格蓝色-3PCs,BG,01,0009,T3-BG010009-LAN,6.55,,,
义乌市易赛日用品有限公司,"创意蜂窝带盖37格制冰冰格冰箱自制冰块模具家用制冰盒冰模辅食 [快照]
颜色: 绿色  规格: 带盖OPP袋装",#NAME?, 5.85 ,37格蜂窝冰格黄色-3PCs,BG,01,0009,T3-BG010009-HUANG,6.55,,,
义乌市易赛日用品有限公司,"创意蜂窝带盖37格制冰冰格冰箱自制冰块模具家用制冰盒冰模辅食 [快照]
颜色: 绿色  规格: 带盖OPP袋装",#NAME?, 5.85 ,37格蜂窝冰格白色-3PCs,BG,01,0009,T3-BG010009-BAI,6.55,,,
义乌市易赛日用品有限公司,"创意蜂窝带盖37格制冰冰格冰箱自制冰块模具家用制冰盒冰模辅食 [快照]
颜色: 绿色  规格: 带盖OPP袋装",#NAME?, 5.85 ,37格蜂窝冰格紫色-3PCs,BG,01,0009,T3-BG010009-ZI,6.55,,,
义乌市易赛日用品有限公司,"创意蜂窝带盖37格制冰冰格冰箱自制冰块模具家用制冰盒冰模辅食 [快照]
颜色: 白色  规格: 带盖OPP袋装",#NAME?, 1.95 ,37格蜂窝冰格白色,BG,01,0050,BG010050,2.18,,,
义乌市易赛日用品有限公司,"创意蜂窝带盖37格制冰冰格冰箱自制冰块模具家用制冰盒冰模辅食 [快照]
颜色: 粉色  规格: 带盖OPP袋装",#NAME?, 1.95 ,37格蜂窝冰格粉色,BG,01,0047,BG010047,2.18,,,
义乌市易赛日用品有限公司,"创意蜂窝带盖37格制冰冰格冰箱自制冰块模具家用制冰盒冰模辅食 [快照]
颜色: 蓝色  规格: 带盖OPP袋装",#NAME?, 1.95 ,37格蜂窝冰格蓝色,BG,01,0048,BG010048,2.18,,,
